;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1.7220027424765978;2.6244706901468895e+35;9.018379169171894e+35;1.8815450094414828e+36;4.5141383101918373e+36;1.2136682643287449e+37;2.529355178599794e+37;4.823799980334711e+37;8.3356455260753385e+37;1.3072426429072524e+38;1.961738323053229e+38;2.932584790839833e+38;9.094168062499308e+38;1.9999789844997872e+39;5.731147134580177e+39;1.555761842136205e+40;2.6302612084111405e+40;4.073128547430301e+40;5.568009848444183e+40;7.572882747728345e+40;9.376730304930763e+40;1.1008207722088809e+41;1.226324708687243e+41
1.7172326517772167;2.5609655567975515e+35;9.889716368205723e+35;2.1500558726862045e+36;5.850167721696609e+36;1.5308148518841127e+37;3.065124245575213e+37;5.926561772692331e+37;9.124778399011713e+37;1.6171875106877691e+38;2.3323060497923815e+38;3.520543068241139e+38;1.0491009923366473e+39;2.1845473363133962e+39;6.740166533020293e+39;1.810579184844124e+40;3.108687904107773e+40;4.679411666280158e+40;6.576248216318805e+40;8.466599939448833e+40;1.0918726227726605e+41;1.2766195862729894e+41;1.3833172526499152e+41
1.7124889151700973;3.995060739387794e+35;1.2236528280942061e+36;2.4646556741211446e+36;7.509051826210784e+36;1.727886800137322e+37;3.44822694397168e+37;6.954777343159415e+37;1.166592334839511e+38;1.8481560102957854e+38;2.7714006730192997e+38;4.310741458973448e+38;1.2907576003502473e+39;2.5218386435342348e+39;8.120001021684381e+39;2.0848754569206639e+40;3.75662790252243e+40;5.386451480906305e+40;7.523561953596125e+40;1.0003487279317133e+41;1.2508560688327025e+41;1.4793024943295825e+41;1.5353008573200378e+41
1.7077713148528244;4.260933409259536e+35;1.016595755835216e+36;2.746108601414573e+36;8.804566704883727e+36;1.91367074410386e+37;4.055153577173561e+37;8.15914477629107e+37;1.3540592003919997e+38;2.2104857501138154e+38;3.1194479184116442e+38;4.977452533586695e+38;1.5565110221980056e+39;3.086909260875082e+39;9.722747277636178e+39;2.481215831211463e+40;4.445320257834873e+40;6.4873500972970685e+40;8.780392462008832e+40;1.170657343329794e+41;1.4140812431817833e+41;1.741872976407109e+41;1.8011606859388436e+41
1.7030796354164155;4.520394196079985e+35;1.5750284231710986e+36;3.8028235986733196e+36;1.0100197739086885e+37;2.290843163680041e+37;4.934827966510702e+37;9.632095750792754e+37;1.5913809193737495e+38;2.6186522320781143e+38;3.833527146483746e+38;5.9682270898151604e+38;1.8471278586064623e+39;3.913380381385499e+39;1.1631719070950243e+40;3.0520957591378853e+40;5.02041065992138e+40;7.921863483639574e+40;1.035622600364336e+41;1.3326549504682048e+41;1.6168095164084546e+41;2.0132724060191765e+41;2.0986464622613696e+41
1.6984136638125351;4.8102031465220354e+35;1.867343470220874e+36;3.73955289615342e+36;1.2116678204846576e+37;2.8086309807020583e+37;5.771338235830529e+37;1.1169015874872672e+38;1.9009493382106335e+38;3.0879250994007164e+38;4.6406294837763055e+38;7.304115737680437e+38;2.3572176770956857e+39;4.6414544573824915e+39;1.3389330075122433e+40;3.596368180365492e+40;6.128801829744709e+40;9.108489555731538e+40;1.2341329685105034e+41;1.5757246231769943e+41;1.8868757186331383e+41;2.268061313821525e+41;2.398066805389724e+41
1.693773189321244;5.91699535843486e+35;2.06672254936528e+36;5.0466969895288013e+36;1.4192410895194023e+37;3.125974013120638e+37;6.814258047281534e+37;1.3647352417120504e+38;2.1438760081664283e+38;3.624567117075747e+38;5.2999824132405544e+38;8.384422985654936e+38;2.6295682528375048e+39;5.505410707916865e+39;1.5646894373865028e+40;4.2535171798033507e+40;7.439037798470799e+40;1.0458962712653471e+41;1.4145494984080403e+41;1.8271182858141613e+41;2.175383425779964e+41;2.569258308633233e+41;2.777505141652103e+41
1.6891580035192786;7.982623784031663e+35;2.6553619139323804e+36;5.680705893738874e+36;1.633605713662134e+37;3.839175768540795e+37;8.132500954015286e+37;1.6380912150769161e+38;2.5684096947887062e+38;4.363050983719146e+38;6.373092708444209e+38;9.906666742767502e+38;2.9387324963846156e+39;6.388973530135997e+39;1.9178504422583573e+40;4.964561769833272e+40;8.538864064575346e+40;1.2137819389853058e+41;1.5955454401370789e+41;2.0721443627057036e+41;2.5133797290244737e+41;2.9618254979414424e+41;3.2120287571508394e+41
1.6845679002488458;8.251636106745081e+35;2.949808074134113e+36;6.752784728326743e+36;1.856910160176138e+37;4.624340682419606e+37;9.898187355754957e+37;1.910686008346782e+38;3.025618616122027e+38;5.14407565754954e+38;7.586467518845202e+38;1.1903998686333958e+39;3.641342009660584e+39;7.705061409990567e+39;2.266300498865722e+40;5.636746163400978e+40;9.724147567082916e+40;1.4169663607926617e+41;1.8425600095704087e+41;2.399988970656043e+41;2.890389509073217e+41;3.429417421332458e+41;3.659164743400846e+41
1.6800026755869248;1.0533479148224551e+36;3.44884946649207e+36;7.813828337882795e+36;2.2483930721833007e+37;5.5893956823953895e+37;1.1592921935879656e+38;2.256243647997274e+38;3.714414375387329e+38;6.012318607445884e+38;8.706116685273437e+38;1.4272675768730062e+39;4.286245557583095e+39;9.336943333024005e+39;2.5599428141343337e+40;6.68731784491902e+40;1.123290539204824e+41;1.6682217729097002e+41;2.1984970647724406e+41;2.819930807327126e+41;3.290953333769815e+41;3.900571040957869e+41;4.120679922000523e+41
