delta_mu_ev,p_th_w_cm3,temperature_k,delta_mu_carrier_statistics_model
1.0611789929294846,307047948.54767036,535.7069483034345,fd
1.0611789929294846,320818576.3500038,540.2051469832148,fd
1.0611789929294846,335206795.60985166,544.7893114401018,fd
1.0611789929294846,350240304.3533222,549.4596322869453,fd
1.0611789929294846,365948042.8203544,554.2142488376068,fd
1.0611789929294846,382360249.1760959,559.0552826801747,fd
1.0611789929294846,399508517.7208505,563.984812195168,fd
1.0611789929294846,417425859.71065253,569.0048747760932,fd
1.0611789929294846,436146766.9055477,574.1174697358919,fd
1.0611789929294846,455707277.9679281,579.3245583291086,fd
1.0611789929294846,476145047.83870107,584.6280681092514,fd
1.0611789929294846,497499420.2249181,590.0304066515521,fd
1.0611789929294846,519811503.3383162,595.5409291439319,fd
1.0611789929294846,543124249.0306457,601.1549405197808,fd
1.0611789929294846,567482535.4780853,606.8742147238793,fd
1.0611789929294846,592933253.5739267,612.7004985833029,fd
1.0611789929294846,619525397.1958387,618.6355137275699,fd
1.0611789929294846,647310157.5214792,624.6809567180754,fd
1.0611789929294846,676341021.5740173,630.8515232076361,fd
1.0611789929294846,706673875.1872689,637.1421678030341,fd
1.0611789929294846,738367110.5886631,643.5494808619409,fd
1.0611789929294846,771481738.8071325,650.0761613739533,fd
1.0611789929294846,806081507.122346,656.7456332137048,fd
1.0611789929294846,842233021.781306,663.5376906267463,fd
1.0611789929294846,880005876.2186782,670.4602730714865,fd
1.0611789929294846,919472785.0275228,677.5305504820645,fd
1.0611789929294846,960709723.9384601,684.7290500998886,fd
1.0611789929294846,1003796076.0766671,692.0851297425043,fd
1.0611789929294846,1048814784.778277,699.5771324275499,fd
1.0611789929294846,1095852513.2603605,707.2317282848614,fd
1.0611789929294846,1144999811.4518583,715.0283758059797,fd
1.0611789929294846,1196351290.3066256,722.9995609221972,fd
1.0611789929294846,1250005803.9341483,731.12447730637,fd
1.0611789929294846,1306066639.898539,739.4168526827415,fd
1.0611789929294846,1364641718.0521486,747.8874379369864,fd
