mu_e_ev,temperature_k,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s
0.5394185588816904,725.0,-639523404.9137226,639523404.9137226,468371.40190430754,1.4600219483645547e-07
0.5394185588816904,730.0,-657701494.3263427,657701494.3263427,473449.67942156876,1.4369315338682924e-07
0.5394185588816904,735.0,-676156776.9843153,676156776.9843153,478515.04076883243,1.4145090808805807e-07
0.5394185588816904,740.0,-694889259.6099547,694889259.6099547,483567.26829948305,1.3927280722923578e-07
0.5394185588816904,745.0,-713898923.4644779,713898923.4644779,488606.15448519384,1.3715633119181934e-07
0.5394185588816904,750.0,-733185725.1372755,733185725.1372755,493631.5016048562,1.3509908458365594e-07
0.5394185588816904,755.0,-752749597.3151182,752749597.3151182,498643.1214424436,1.3309878891578965e-07
0.5394185588816904,760.0,-772590449.5317358,772590449.5317358,503640.83499242226,1.311532757795865e-07
0.5394185588816904,765.0,-792708168.8980592,792708168.8980592,508624.47217319737,1.2926048048544112e-07
0.5394185588816904,770.0,-813102620.8135327,813102620.8135327,513593.8715482786,1.2741843612765809e-07
0.5394185588816904,775.0,-833773649.6588407,833773649.6588407,518548.8800546911,1.256252680431325e-07
0.5394185588816904,780.0,-854721079.4703965,854721079.4703965,523489.35273959197,1.238791886342036e-07
0.5394185588816904,785.0,-875944714.5970678,875944714.5970678,528415.1525027159,1.221784925285165e-07
0.5394185588816904,790.0,-897444340.3393296,897444340.3393296,533326.1498476757,1.2052155205103134e-07
0.5394185588816904,795.0,-919219723.5714607,919219723.5714607,538222.2226382061,1.1890681298530552e-07
0.5394185588816904,800.0,-941270613.3469163,941270613.3469163,543103.2558627969,1.1733279060310956e-07
0.5394185588816904,805.0,-963596741.487428,963596741.487428,547969.1414049224,1.1579806594307369e-07
0.5394185588816904,810.0,-986197823.1560977,986197823.1560977,552819.7778202139,1.143012823206487e-07
0.5394185588816904,815.0,-1009073557.4149306,1009073557.4149306,557655.0701194518,1.1284114205304892e-07
0.5394185588816904,820.0,-1032223627.7671025,1032223627.7671025,562474.9295580066,1.1141640338414987e-07
0.5394185588816904,825.0,-1055647702.6843343,1055647702.6843343,567279.2734314897,1.1002587759547628e-07
0.5394185588816904,830.0,-1079345436.119821,1079345436.119821,572068.0248763756,1.086684262904833e-07
0.5394185588816904,835.0,-1103316468.0069127,1103316468.0069127,576841.1126772976,1.0734295884033948e-07
0.5394185588816904,840.0,-1127560424.7440205,1127560424.7440205,581598.471079361,1.0604842998029035e-07
0.5394185588816904,845.0,-1152076919.6660585,1152076919.6660585,586340.0396057251,1.0478383754652028e-07
0.5394185588816904,850.0,-1176865553.5027275,1176865553.5027275,591065.7628806917,1.035482203441858e-07
0.5394185588816904,855.0,-1201925914.8239403,1201925914.8239403,595775.5904584884,1.023406561379842e-07
0.5394185588816904,860.0,-1227257580.472912,1227257580.472912,600469.4766553715,1.0116025975723756e-07
0.5394185588816904,865.0,-1252860115.9869058,1252860115.9869058,605147.3803886191,1.0000618130810285e-07
0.5394185588816904,870.0,-1278733076.006257,1278733076.006257,609809.2650189021,9.88776044859999e-08
0.5394185588816904,875.0,-1304876004.6718178,1304876004.6718178,614455.0981976085,9.777374498188525e-08
0.5394185588816904,880.0,-1331288436.011115,1331288436.011115,619084.8517191536,9.669384897643839e-08
0.5394185588816904,885.0,-1357969894.313658,1357969894.313658,623698.5013766924,9.563719171663887e-08
0.5394185588816904,890.0,-1384919894.495496,1384919894.495496,628296.0268229952,9.460307616962053e-08
0.5394185588816904,895.0,-1412137942.4534535,1412137942.4534535,632877.411434903,9.359083174902372e-08
0.5394185588816904,900.0,-1439623535.409193,1439623535.409193,637442.6421825398,9.259981310941316e-08
0.5394185588816904,905.0,-1467376162.2436175,1467376162.2436175,641991.7095009018,9.162939900460988e-08
0.5394185588816904,910.0,-1495395303.8214748,1495395303.8214748,646524.6071672121,9.067899120610745e-08
0.5394185588816904,915.0,-1523680433.3068178,1523680433.3068178,651041.332180711,8.974801347795314e-08
0.5394185588816904,920.0,-1552231016.4693735,1552231016.4693735,655541.8846461386,8.883591060475084e-08
0.5394185588816904,925.0,-1581046511.9820442,1581046511.9820442,660026.2676613873,8.794214746965767e-08
0.5394185588816904,930.0,-1610126371.7098958,1610126371.7098958,664494.4872078631,8.706620817943981e-08
0.5394185588816904,935.0,-1639470040.9908016,1639470040.9908016,668946.5520443564,8.620759523386048e-08
0.5394185588816904,940.0,-1669076958.9079049,1669076958.9079049,673382.4736045913,8.536582873684615e-08
0.5394185588816904,945.0,-1698946558.554296,1698946558.554296,677802.2658970654,8.454044564703146e-08
0.5394185588816904,950.0,-1729078267.289946,1729078267.289946,682205.945408577,8.373099906545424e-08
0.5425845135690094,280.0,388269.5205182505,0.0,44828.28199412643,
0.5425845135690094,285.0,323436.03004386695,0.0,47885.59290408472,
0.5425845135690094,290.0,229293.73458714163,0.0,51038.77970524293,
0.5425845135690094,295.0,100874.14645401198,0.0,54285.80846204855,
0.5425845135690094,300.0,-67116.52437121577,67116.52437121577,57624.576380473336,5.506901294713454e-06
0.5425845135690094,305.0,-280269.55123501143,280269.55123501143,61052.92292272821,4.89512938588673e-06
0.5425845135690094,310.0,-544441.6111097845,544441.6111097845,64568.64007944524,4.36986016053165e-06
0.5425845135690094,315.0,-865719.1975477468,865719.1975477468,68169.481835536,3.916898315307699e-06
0.5425845135690094,320.0,-1250380.3961221878,1250380.3961221878,71853.17286853318,3.5246583856272144e-06
0.5425845135690094,325.0,-1704854.9731580347,1704854.9731580347,75617.41651931284,3.1836373340519896e-06
0.5425845135690094,330.0,-2235683.7680829954,2235683.7680829954,79459.90207603625,2.886002718081122e-06
0.5425845135690094,335.0,-2849478.37466001,2849478.37466001,83378.3114116637,2.625269266117504e-06
0.5425845135690094,340.0,-3552882.0467913966,3552882.0467913966,87370.32501535729,2.3960434842856028e-06
