delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0611789929294846,465.0,0.5913181744803807,-135862599.54972094,135862599.54972094,380342.70022911375,2.5913698385280086e-07,fd
1.0611789929294846,470.0,0.5919872068001768,-145302193.5915699,145302193.5915699,390733.4878141007,2.498294358861886e-07,fd
1.0611789929294846,475.0,0.592656997570085,-155130224.9023696,155130224.9023696,401195.3882584362,2.410617705951676e-07,fd
1.0611789929294846,480.0,0.5933275572836563,-165351455.31835628,165351455.31835628,411725.8203906395,2.3279254276523894e-07,fd
1.0611789929294846,485.0,0.593998895760833,-175970478.54083082,175970478.54083082,422322.26421096287,2.2498421771148758e-07,fd
1.0611789929294846,490.0,0.5946710222754071,-186991723.28452528,186991723.28452528,432982.26071853837,2.1760273662714898e-07,fd
1.0611789929294846,495.0,0.5953439461340158,-198419457.82356644,198419457.82356644,443703.4140688188,2.1061713581804372e-07,fd
1.0611789929294846,500.0,0.5960176761824679,-210257791.89414462,210257791.89414462,454483.38826126064,2.0399921669815014e-07,fd
1.0611789929294846,505.0,0.5966922202879953,-222510678.20663735,222510678.20663735,465319.9034198751,1.9772325607933626e-07,fd
1.0611789929294846,510.0,0.5973675866035826,-235181919.19736132,235181919.19736132,476210.74145650864,1.917657466126059e-07,fd
1.0611789929294846,515.0,0.5980437828545435,-248275168.26570722,248275168.26570722,487153.7413789111,1.8610517334070516e-07,fd
1.0611789929294846,520.0,0.598720815588983,-261793930.35678503,261793930.35678503,498146.79405406216,1.807218161234639e-07,fd
1.0611789929294846,525.0,0.5993986919418195,-275741570.83081555,275741570.83081555,509187.8507757996,1.7559756883551862e-07,fd
1.0611789929294846,530.0,0.6000774182219827,-290121314.0511862,290121314.0511862,520274.9144452771,1.7071578639427636e-07,fd
1.0611789929294846,535.0,0.6007570000779918,-304936246.83634716,304936246.83634716,531406.039244542,1.6606114508905963e-07,fd
1.0611789929294846,540.0,0.6014374433889955,-320189324.8628971,320189324.8628971,542579.3345959577,1.6161951680794198e-07,fd
1.0611789929294846,545.0,0.6021187535252656,-335883373.1185864,335883373.1185864,553792.9598528206,1.5737786016259368e-07,fd
1.0611789929294846,550.0,0.6028009348143959,-352021086.5796211,352021086.5796211,565045.1199128832,1.5332412259707116e-07,fd
1.0611789929294846,555.0,0.603483992177868,-368605039.8415708,368605039.8415708,576334.0737008073,1.4944714877983828e-07,fd
1.0611789929294846,560.0,0.6041679296560521,-385637684.0911582,385637684.0911582,587658.1243358855,1.4573660408484517e-07,fd
1.0611789929294846,565.0,0.6048527510915336,-403121352.79340196,403121352.79340196,599015.622012224,1.421829019887112e-07,fd
1.0611789929294846,570.0,0.6055384600990177,-421058264.49464464,421058264.49464464,610404.9627106604,1.3877713999891691e-07,fd
1.0611789929294846,575.0,0.6062250592796765,-439450521.8210636,439450521.8210636,621824.5821634238,1.3551104304327147e-07,fd
1.0611789929294846,580.0,0.6069125521918288,-458300123.72649485,458300123.72649485,633272.9670029151,1.323769081839331e-07,fd
