mu_e_ev,p_th_w_cm3,temperature_k
0.5394185588816904,13532423.421103643,384.2235989427332
0.5394185588816904,14216453.244261848,386.1771016479385
0.5394185588816904,14935059.047228679,388.1655484201027
0.5394185588816904,15689988.55844993,390.16064457141175
0.5394185588816904,16483077.849629967,392.2349507545286
0.5394185588816904,17316255.801259957,394.3092569376452
0.5394185588816904,18191548.79386812,396.44103805217884
0.5394185588816904,19111085.63639977,398.60151349192216
0.5394185588816904,20077102.743715666,400.7925143495083
0.5394185588816904,21091949.57579863,403.03953883582733
0.5394185588816904,22158094.351899546,405.2976560583898
0.5394185588816904,23278130.05351792,407.6316618435445
0.5394185588816904,24454780.730818626,409.96566762869924
0.5394185588816904,25690908.12782187,412.3858388614794
0.5394185588816904,26989518.642479748,414.8072964787188
0.5394185588816904,28353770.638567146,417.3097041504678
